"day","hour","RL_act","CON_act","SPV_act","WND_act","SPV_forc","WND_forc","CON_forc","VWAP","DA_SPOT"
"2015-01-06","00:00",38049.86239,46552.98739,0,8503.125,0,10779.851,52745.13415,20.36,15.15
"2015-01-07","01:00",36225.34832,44311.22332,0,8085.875,0,10580.681,49819.8122,13.13,12.96
"2015-01-08","02:00",34125.13925,42928.33925,0,8803.2,0,10233.593,48100.39521,9.81,12.09
"2015-01-09","03:00",32782.06019,41751.63519,0,8969.575,0,9938.454,47394.62911,7.14,11.7
"2015-01-10","04:00",32669.10612,41178.83112,0,8509.725,0,9764.51,47161.71238,10.25,11.66
"2015-01-11","05:00",31848.97705,40209.52705,0,8360.55,0,9663.302,45219.21927,9.59,11.35
"2015-01-12","06:00",30589.92298,38636.32298,0,8046.4,0,9808.999,42914.92888,6.33,9.85
"2015-01-13","07:00",30792.94892,39026.09892,0.8,8232.35,0,9422.438,46046.67113,4.88,9.54
"2015-01-14","08:00",30960.08485,39511.03485,170.5,8380.45,551.9196313,8852.891,50031.75327,8.7,9.49
"2015-01-15","09:00",31589.40578,41006.13078,1331.975,8084.75,2053.805114,8490.057,53414.05363,8.68,11.64
"2015-01-16","10:00",32745.25672,43152.70672,3396.05,7011.4,4318.613178,8442.436,56107.74579,9.28,11.94
"2015-01-17","11:00",32738.18265,44616.08265,5247.4,6630.5,5597.231611,8681.5,57733.9367,10.45,13.15
"2015-01-18","12:00",32964.46858,45454.81858,6546,5944.35,5933.510693,8866.873,56988.46878,10.64,15.24
"2015-01-19","13:00",33320.20451,45409.05451,6490.425,5598.425,6027.714303,8721.484,54465.03816,6.5,13.69
"2015-01-20","14:00",34854.42045,45038.77045,4793.1,5391.25,4316.51618,8267.828,52302.33173,4.9,16.96
"2015-01-21","15:00",38024.76638,46015.36638,2209.825,5780.775,2139.619142,7957.95,52592.69066,6.3,26.06
"2015-01-22","16:00",40291.10231,48543.80231,304.475,7948.225,132.5164818,8008.701,55565.47463,17.3,32.11
"2015-01-23","17:00",45190.63325,55014.05825,1.225,9822.2,0,8623.403,59727.46975,23.65,32.88
"2015-01-24","18:00",44726.83918,55762.51418,0,11035.675,0,9294.338,60403.68935,18.77,32.22
"2015-01-25","19:00",42646.99511,55004.27011,0,12357.275,0,10043.381,59468.23069,14.54,30.63
"2015-01-26","20:00",39559.93105,52408.70605,0,12848.775,0,10863.219,58090.23249,11.62,28.64
"2015-01-27","21:00",37960.82198,50940.42198,0,12979.6,0,11856.185,57483.69646,13.46,20.09
"2015-01-28","22:00",38578.58791,52076.83791,0,13498.25,0,12476.359,57461.28423,12.71,15.1
"2015-01-29","23:00",34959.72384,48950.57384,0,13990.85,0,12776.318,53852.80461,5.08,12.95
"2015-01-30","00:00",30573.19978,44350.54978,0,13777.35,0,14087.19186,49295.54739,-2.38,7.66
"2015-01-31","01:00",28354.84071,42180.76571,0,13825.925,0,14311.10586,47562.81056,-6.89,7.02
"2015-02-01","02:00",27387.86164,41485.96164,0,14098.1,0,14408.39332,46832.14901,-5.7,1.92
"2015-02-02","03:00",27167.76758,41953.81758,0,14786.05,0,14555.81996,47520.37151,-5.43,-0.04
"2015-02-03","04:00",28491.29851,43489.17351,0,14997.875,0,14655.14306,49051.04091,-0.44,0.06
"2015-02-04","05:00",30947.89944,46074.94944,0,15127.05,0,14721.70174,51220.9872,-0.38,7.06
"2015-02-05","06:00",37234.44037,52939.26537,0,15704.825,0,14766.81215,57169.72018,9.48,11.8
"2015-02-06","07:00",42727.82131,58592.12131,0.275,15864.025,0,14847.40109,62963.94988,19.49,21.31
"2015-02-07","08:00",46758.70224,62152.67724,94.825,15299.15,218.7303158,14607.37858,66467.94269,17.93,30.44
"2015-02-08","09:00",49282.13317,64554.23317,607.475,14664.625,868.8776898,14260.55919,69228.61355,25.1,30.63
"2015-02-09","10:00",50239.32411,66020.04911,1515.375,14265.35,1857.291171,14208.72777,72188.23969,27.77,30.86
"2015-02-10","11:00",52290.84004,67699.36504,2396.425,13012.1,2508.585236,13588.71071,74155.38524,36.52,33.78
"2015-02-11","12:00",52959.70597,68231.88097,3135.15,12137.025,2692.920704,13278.94813,74045.31565,38.75,37.97
"2015-02-12","13:00",52151.39691,67410.19691,2987.725,12271.075,2437.799464,12862.90962,73250.54274,34.21,37.42
"2015-02-13","14:00",51857.73784,65948.01284,1941.25,12149.025,1669.655068,12461.34454,72080.11764,32.76,36.24
"2015-02-14","15:00",53008.69877,65914.44877,840.25,12065.5,776.0758702,11743.27312,70920.37081,32.16,32.18
"2015-02-15","16:00",55494.0497,67469.3247,160.425,11814.85,56.61624951,11469.90652,71657.27736,34.76,33.56
"2015-02-16","17:00",58137.57064,70568.72064,1.075,12430.075,0,11520.77995,73996.35937,47.02,52.94
"2015-02-17","18:00",57632.43157,69607.95657,0,11975.525,0,11858.06266,72874.64975,53.18,62.33
"2015-02-18","19:00",56768.3725,68426.3725,0,11658,0,11467.8175,71022.8859,46.62,53.53
"2015-02-19","20:00",53245.73844,63987.38844,0,10741.65,0,10812.10948,67845.4141,35.14,39.54
"2015-02-20","21:00",51116.43937,60900.16437,0,9783.725,0,10002.60087,64828.07709,30.73,35.9
"2015-02-21","22:00",49780.4153,58569.3403,0,8788.925,0,9394.26721,62336.44886,29.55,35.47
"2015-02-22","23:00",46450.05124,55235.67624,0,8785.625,0,8908.453481,58218.46475,26.02,30.64
"2015-02-23","00:00",42104.54717,50020.77217,0,7916.225,0,8474.900484,54887.17159,25.92,27.4
"2015-02-24","01:00",39376.5731,47262.9481,0,7886.375,0,8497.377277,52518.79593,26.03,25.61
"2015-02-25","02:00",38010.02403,46170.42403,0,8160.4,0,8896.734452,50955.15711,15.22,19.02
"2015-02-26","03:00",37153.96497,46324.73997,0,9170.775,0,9028.81579,51301.81236,12.02,13.15
"2015-02-27","04:00",37205.2409,47281.8159,0,10076.575,0,9587.62369,52407.54771,11.97,16.01
"2015-02-28","05:00",38334.19683,49390.57183,0,11056.375,0,10270.7504,54851.26484,15.3,24.01
"2015-03-01","06:00",41572.77777,53738.02777,0,12165.25,0,10973.08136,62449.43453,18.66,28.27
"2015-03-02","07:00",46303.6387,59334.7637,0.95,13030.175,0,11724.19624,70080.17435,19.43,31.66
"2015-03-03","08:00",49496.37963,63899.37963,284.6,14118.4,437.3485468,12527.33418,72623.52585,22.39,31.96
"2015-03-04","09:00",49228.87056,65822.69556,1917.375,14676.45,1604.492389,13457.81034,72853.75889,25.58,31.94
"2015-03-05","10:00",47256.5365,66373.5115,4148.725,14968.25,2613.611369,14223.75977,73509.80994,25.09,30.96
"2015-03-06","11:00",47509.09243,67494.06743,5086.05,14898.925,3458.395187,15125.75495,73907.61417,21.87,31.45
"2015-03-07","12:00",48504.01836,67670.34336,4565,14601.325,3676.679668,15690.8444,73737.451,25.56,30.96
"2015-03-08","13:00",48323.1493,67162.1993,3791.4,15047.65,2938.280552,15882.07669,72400.67964,28.94,30.99
"2015-03-09","14:00",48489.54023,66432.01523,2449.775,15492.7,2043.141657,15498.17418,70867.70955,31.75,30.46
"2015-03-10","15:00",48646.01116,65169.91116,1086,15437.9,973.8743527,15240.97255,69532.3697,27.47,30.43
"2015-03-11","16:00",50674.5871,66041.5871,179.375,15187.625,42.60879687,15348.91624,70383.89696,28.34,31.12
"2015-03-12","17:00",55241.51303,69963.26303,0.975,14720.775,0,16031.00137,72792.60142,34.15,36.98
"2015-03-13","18:00",54220.74396,70181.01896,0,15960.275,0,16834.0949,71241.10519,37.18,34.97
"2015-03-14","19:00",51235.41989,67093.79489,0,15858.375,0,17532.66987,68771.17608,34.44,33.13
"2015-03-15","20:00",46857.35583,62954.93083,0,16097.575,0,18177.373,65395.51377,26.02,30.39
"2015-03-16","21:00",43854.49176,60847.36676,0,16992.875,0,18761.60087,62418.44991,20.42,26.32
"2015-01-06","22:00",42456.22769,60325.80269,0,17869.575,0,18892.17886,60515.99799,26.12,26.1
"2015-01-07","23:00",38567.29363,57186.11863,0,18618.825,0,18952.40827,56719.6626,12.52,11.67
"2015-01-08","00:00",33641.40956,52185.93456,0,18544.525,0,20430.59375,52832.67417,7.27,10.07
"2015-01-09","01:00",31325.07049,49145.07049,0,17820,0,19384.62068,50269.88193,5.28,9.84
"2015-01-10","02:00",30651.40143,47819.52643,0,17168.125,0,17089.88282,48632.77912,10.52,7.93
"2015-01-11","03:00",30853.61736,47522.44236,0,16668.825,0,15060.08919,48470.26361,13.11,5.23
"2015-01-12","04:00",31593.14329,47710.91829,0,16117.775,0,13869.63322,48654.52839,10.4,5.18
"2015-01-13","05:00",32590.42422,47489.47422,0,14899.05,0,13720.41776,48169.62421,4.7,8.96
"2015-01-14","06:00",33967.24016,48272.09016,0,14304.85,0,13353.81046,49587.17705,-2.86,8.72
"2015-01-15","07:00",38655.76109,51517.88609,0.525,12861.6,0,12650.90008,53846.05927,13.42,18.4
"2015-01-16","08:00",42836.03202,54824.68202,130.325,11858.325,235.4746584,11870.05605,57386.92073,20.81,26.86
"2015-01-17","09:00",46266.04296,58707.31796,1021.475,11419.8,1043.916745,11198.52222,60400.65324,25.2,29.65
"2015-01-18","10:00",47734.460557,60689.19389,2424.525,10530.208333,2174.985635,10454.97977,62118.52738,27.29,32.02
"2015-01-19","11:00",49805.00982,62026.90982,3349.175,8872.725,2939.09583,9423.426984,62829.86194,28.11,34.96
"2015-01-20","12:00",50600.31575,61384.56575,3314.925,7469.325,3161.555314,8859.974052,62645.68847,35.26,37.32
"2015-01-21","13:00",50154.70169,59850.40169,2593.575,7102.125,2358.897058,8559.122503,60641.11239,42.27,37.2
"2015-01-22","14:00",49803.98262,58524.85762,1685.1,7035.775,1620.503126,8811.257542,59004.26635,46.94,36.38
"2015-01-23","15:00",50654.29855,59459.97355,643.35,8162.325,744.7691945,9141.654794,58039.4256,42.45,34.18
"2015-01-24","16:00",53248.06949,62510.56949,65.625,9196.875,38.79215696,9242.458126,59450.07967,42.3,37.36
"2015-01-25","17:00",55973.78542,66300.48542,0.3,10326.4,0,9494.611926,62644.02931,47.05,43.49
"2015-01-26","18:00",56032.52635,66460.90135,0,10428.375,0,10045.3236,62008.85011,49.62,40.97
"2015-01-27","19:00",54010.90729,64080.05729,0,10069.15,0,9586.051706,59818.28997,42.27,31.92
"2015-01-28","20:00",50484.20322,59743.55322,0,9259.35,0,7931.961052,56650.62603,31.48,29.44
"2015-01-29","21:00",47969.08415,56490.40915,0,8521.325,0,6759.843052,54397.92789,33.53,29.4
"2015-01-30","22:00",48365.81008,55989.58508,0,7623.775,0,5742.822942,53725.6151,33.3,29.03
"2015-01-31","23:00",45481.28102,52519.28102,0,7038,0,5144.005635,50838.27843,31.37,24.3
"2015-02-01","00:00",42399.62695,48487.77695,0,6088.15,0,5435.659158,47688.25059,9.15,19.92
"2015-02-02","01:00",39565.82788,45040.65288,0,5474.825,0,4711.083577,45180.47498,14.2,14.69
"2015-02-03","02:00",38063.77382,43345.44882,0,5281.675,0,4079.833165,43749.00988,6.94,13.33
"2015-02-04","03:00",36926.35475,42318.80475,0,5392.45,0,3513.427897,43666.0957,3.88,10.96
"2015-02-05","04:00",36484.18568,42207.16068,0,5722.975,0,3196.662232,44031.37501,5.27,11.56
"2015-02-06","05:00",35772.05161,41781.97661,0,6009.925,0,3482.491148,43273.45593,6.47,11.66
"2015-02-07","06:00",34087.07255,40690.67255,0,6603.6,0,3900.031603,43456.80631,0.5,11
"2015-02-08","07:00",35188.46848,41740.46848,0.25,6551.75,0,4347.010781,46483.38646,4.97,11.38
"2015-02-09","08:00",37881.23441,45219.28441,81.275,7256.775,149.3267078,4700.534087,49507.18275,7.34,13.77
"2015-02-10","09:00",41626.84035,49725.34035,689.175,7409.325,662.6849359,5153.81239,52539.27891,24.8,27.42
"2015-02-11","10:00",43867.52128,52803.99628,1715.875,7220.6,1576.199392,5329.333061,55079.16484,24.68,30.9
"2015-02-12","11:00",45979.76721,55744.79221,2936.325,6828.7,2138.283109,5112.254365,57301.12148,30.47,32.45
"2015-02-13","12:00",45487.23315,56527.40815,3798.625,7241.55,2316.842171,4879.441848,57686.87202,34.02,32.07
"2015-02-14","13:00",42551.67908,53941.60408,4008.925,7381,2903.151005,4947.487587,55855.1072,26.62,29.91
"2015-02-15","14:00",42024.37501,52087.80001,3059,7004.425,2105.733184,5428.303235,54007.6251,20.63,28.41
"2015-02-16","15:00",44120.03594,51968.83594,1509.525,6339.275,1093.915668,6022.900861,52777.63787,24.45,28.06
"2015-02-17","16:00",47238.30188,53733.55188,267.9,6227.35,77.32971391,6453.43749,54229.61601,33.25,33.16
"2015-02-18","17:00",53349.23281,60228.20781,1.1,6877.875,0,6621.882106,57907.81445,39.46,34.94
"2015-02-19","18:00",54527.05374,62272.30374,0,7745.25,0,7014.704203,58645.91023,41.44,40.13
